Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth
2020,1,Arkansas,All,All,All,Aged,All,All,258021,340541,10459,0.0405
2020,1,Arkansas,All,All,All,All,0-64,All,48048,66477,3969,0.0826
2020,1,Arkansas,All,All,All,All,65-74,All,130185,180872,5334,0.041
2020,1,Arkansas,All,All,All,All,75-84,All,91585,114615,3626,0.0396
2020,1,Arkansas,All,All,All,All,85 and over,All,38372,47239,1620,0.0422
2020,1,Arkansas,All,All,All,All,All,All,308190,409203,14549,0.0472
2020,1,Arkansas,All,All,All,All,All,Rural,139359,187354,6903,0.0495
2020,1,Arkansas,All,All,All,All,All,Unknown,,,,
2020,1,Arkansas,All,All,All,All,All,Urban,167297,219786,7572,0.0453
2020,1,Arkansas,All,All,All,Disabled,All,All,45731,64069,3875,0.0847
2020,1,Arkansas,All,All,All,ESRD,All,All,4438,4593,215,0.0484
2020,1,Arkansas,All,All,Female,All,All,All,177262,225526,8910,0.0503
2020,1,Arkansas,All,All,Male,All,All,All,130928,183677,5639,0.0431
2020,1,Arkansas,All,American Indian/Alaska Native,All,All,All,All,1103,1426,62,0.0562
2020,1,Arkansas,All,Asian/Pacific Islander,All,All,All,All,1533,2468,53,0.0346
2020,1,Arkansas,All,Black/African American,All,All,All,All,29693,41004,1635,0.0551
2020,1,Arkansas,All,Hispanic,All,All,All,All,3641,5713,156,0.0428
2020,1,Arkansas,All,Non-Hispanic White,All,All,All,All,268753,353645,12489,0.0465
2020,1,Arkansas,All,Other/Unknown,All,All,All,All,,,,
2020,1,Arkansas,Medicare & Medicaid,All,All,All,All,All,60762,77932,4743,0.0781
2020,1,Arkansas,Medicare Only,All,All,All,All,All,247428,331271,9806,0.0396
2020,1,California,All,All,All,Aged,All,All,1843472,2536430,159711,0.0866
2020,1,California,All,All,All,All,0-64,All,252808,359058,31716,0.1255
2020,1,California,All,All,All,All,65-74,All,908469,1345191,81630,0.0899
2020,1,California,All,All,All,All,75-84,All,642601,823838,55874,0.0869
2020,1,California,All,All,All,All,85 and over,All,315177,390583,24657,0.0782
2020,1,California,All,All,All,All,All,All,2119055,2918669,193877,0.0915
2020,1,California,All,All,All,All,All,Rural,230819,325875,17064,0.0739
2020,1,California,All,All,All,All,All,Unknown,,,,
2020,1,California,All,All,All,All,All,Urban,1887093,2590252,176730,0.0937
2020,1,California,All,All,All,Disabled,All,All,234524,339762,29837,0.1272
2020,1,California,All,All,All,ESRD,All,All,41059,42477,4329,0.1054
2020,1,California,All,All,Female,All,All,All,1201331,1591110,115753,0.0964
2020,1,California,All,All,Male,All,All,All,917724,1327559,78124,0.0851
2020,1,California,All,American Indian/Alaska Native,All,All,All,All,9555,12779,901,0.0943
2020,1,California,All,Asian/Pacific Islander,All,All,All,All,252842,359085,20848,0.0825
2020,1,California,All,Black/African American,All,All,All,All,106004,155251,11855,0.1118
2020,1,California,All,Hispanic,All,All,All,All,336071,519461,28433,0.0846
2020,1,California,All,Non-Hispanic White,All,All,All,All,1335517,1759298,124386,0.0931
2020,1,California,All,Other/Unknown,All,All,All,All,,,,
2020,1,California,Medicare & Medicaid,All,All,All,All,All,727038,962555,75790,0.1042
2020,1,California,Medicare Only,All,All,All,All,All,1392017,1956114,118087,0.0848
2020,1,Colorado,All,All,All,Aged,All,All,270655,389881,20020,0.074
2020,1,Colorado,All,All,All,All,0-64,All,36214,51231,5505,0.152
2020,1,Colorado,All,All,All,All,65-74,All,149812,230352,11591,0.0774
2020,1,Colorado,All,All,All,All,75-84,All,85698,114674,6049,0.0706
2020,1,Colorado,All,All,All,All,85 and over,All,36952,46706,2616,0.0708
2020,1,Colorado,All,All,All,All,All,All,308676,442963,25761,0.0835
2020,1,Colorado,All,All,All,All,All,Rural,73477,111870,4869,0.0663
2020,1,Colorado,All,All,All,All,All,Unknown,,,,
2020,1,Colorado,All,All,All,All,All,Urban,235027,330749,20881,0.0888
2020,1,Colorado,All,All,All,Disabled,All,All,34416,49308,5283,0.1535
2020,1,Colorado,All,All,All,ESRD,All,All,3605,3774,458,0.127
2020,1,Colorado,All,All,Female,All,All,All,171149,234549,15295,0.0894
2020,1,Colorado,All,All,Male,All,All,All,137527,208414,10466,0.0761
2020,1,Colorado,All,American Indian/Alaska Native,All,All,All,All,1011,1421,83,0.0821
2020,1,Colorado,All,Asian/Pacific Islander,All,All,All,All,4967,8017,343,0.0691
2020,1,Colorado,All,Black/African American,All,All,All,All,8231,12419,852,0.1035
2020,1,Colorado,All,Hispanic,All,All,All,All,26005,41113,2194,0.0844
2020,1,Colorado,All,Non-Hispanic White,All,All,All,All,258286,364831,21445,0.083
2020,1,Colorado,All,Other/Unknown,All,All,All,All,,,,
2020,1,Colorado,Medicare & Medicaid,All,All,All,All,All,54534,73123,6639,0.1217
2020,1,Colorado,Medicare Only,All,All,All,All,All,254142,369840,19122,0.0752
2020,1,Connecticut,All,All,All,Aged,All,All,210970,269850,15866,0.0752
2020,1,Connecticut,All,All,All,All,0-64,All,35732,44775,5510,0.1542
2020,1,Connecticut,All,All,All,All,65-74,All,89393,122420,7580,0.0848
2020,1,Connecticut,All,All,All,All,75-84,All,75955,93138,5717,0.0753
2020,1,Connecticut,All,All,All,All,85 and over,All,47595,56263,2759,0.058
2020,1,Connecticut,All,All,All,All,All,All,248675,316596,21566,0.0867
2020,1,Connecticut,All,All,All,All,All,Rural,10831,14023,861,0.0795
2020,1,Connecticut,All,All,All,All,All,Unknown,,,,
2020,1,Connecticut,All,All,All,All,All,Urban,237800,302460,20701,0.0871
2020,1,Connecticut,All,All,All,Disabled,All,All,34114,43114,5297,0.1553
2020,1,Connecticut,All,All,All,ESRD,All,All,3591,3631,403,0.1122
2020,1,Connecticut,All,All,Female,All,All,All,142812,177034,12994,0.091
2020,1,Connecticut,All,All,Male,All,All,All,105863,139562,8572,0.081
2020,1,Connecticut,All,American Indian/Alaska Native,All,All,All,All,244,299,30,0.123
2020,1,Connecticut,All,Asian/Pacific Islander,All,All,All,All,4217,6361,284,0.0673
2020,1,Connecticut,All,Black/African American,All,All,All,All,15038,19918,1473,0.098
2020,1,Connecticut,All,Hispanic,All,All,All,All,15276,20254,1593,0.1043
2020,1,Connecticut,All,Non-Hispanic White,All,All,All,All,204893,257412,17429,0.0851
2020,1,Connecticut,All,Other/Unknown,All,All,All,All,,,,
2020,1,Connecticut,Medicare & Medicaid,All,All,All,All,All,78200,95124,8472,0.1083
2020,1,Connecticut,Medicare Only,All,All,All,All,All,170475,221472,13094,0.0768
2020,1,Delaware,All,All,All,Aged,All,All,112148,140364,8150,0.0727
2020,1,Delaware,All,All,All,All,0-64,All,13350,17061,1802,0.135
2020,1,Delaware,All,All,All,All,65-74,All,58787,76665,4627,0.0787
2020,1,Delaware,All,All,All,All,75-84,All,38995,46755,2742,0.0703
2020,1,Delaware,All,All,All,All,85 and over,All,15277,17872,879,0.0575
2020,1,Delaware,All,All,All,All,All,All,126409,158353,10050,0.0795
2020,1,Delaware,All,All,All,All,All,Rural,38747,47665,2978,0.0769
2020,1,Delaware,All,All,All,All,All,Unknown,,,,
2020,1,Delaware,All,All,All,All,All,Urban,87624,110621,7070,0.0807
2020,1,Delaware,All,All,All,Disabled,All,All,12610,16296,1736,0.1377
2020,1,Delaware,All,All,All,ESRD,All,All,1651,1693,164,0.0993
2020,1,Delaware,All,All,Female,All,All,All,71885,88087,6010,0.0836
2020,1,Delaware,All,All,Male,All,All,All,54524,70267,4040,0.0741
2020,1,Delaware,All,American Indian/Alaska Native,All,All,All,All,55,63,,
2020,1,Delaware,All,Asian/Pacific Islander,All,All,All,All,1757,2601,129,0.0734
2020,1,Delaware,All,Black/African American,All,All,All,All,17277,22320,1486,0.086
2020,1,Delaware,All,Hispanic,All,All,All,All,2721,3719,274,0.1007
2020,1,Delaware,All,Non-Hispanic White,All,All,All,All,101077,124970,7905,0.0782
2020,1,Delaware,All,Other/Unknown,All,All,All,All,,,,
2020,1,Delaware,Medicare & Medicaid,All,All,All,All,All,19113,23499,1848,0.0967
2020,1,Delaware,Medicare Only,All,All,All,All,All,107296,134854,8202,0.0764
2020,1,District Of Columbia,All,All,All,Aged,All,All,34889,48091,2332,0.0668
2020,1,District Of Columbia,All,All,All,All,0-64,All,6718,9303,534,0.0795
2020,1,District Of Columbia,All,All,All,All,65-74,All,16866,24513,1172,0.0695
2020,1,District Of Columbia,All,All,All,All,75-84,All,12265,15948,795,0.0648
2020,1,District Of Columbia,All,All,All,All,85 and over,All,6510,8396,398,0.0611
2020,1,District Of Columbia,All,All,All,All,All,All,42359,58160,2899,0.0684
2020,1,District Of Columbia,All,All,All,All,All,Rural,,,,
2020,1,District Of Columbia,All,All,All,All,All,Unknown,,,,
2020,1,District Of Columbia,All,All,All,All,All,Urban,42351,58132,2899,0.0685
2020,1,District Of Columbia,All,All,All,Disabled,All,All,6028,8580,494,0.082
2020,1,District Of Columbia,All,All,All,ESRD,All,All,1442,1489,73,0.0506
2020,1,District Of Columbia,All,All,Female,All,All,All,25212,33235,1806,0.0716
2020,1,District Of Columbia,All,All,Male,All,All,All,17147,24925,1093,0.0637
2020,1,District Of Columbia,All,American Indian/Alaska Native,All,All,All,All,11,19,0,0
2020,1,District Of Columbia,All,Asian/Pacific Islander,All,All,All,All,699,1135,43,0.0615
2020,1,District Of Columbia,All,Black/African American,All,All,All,All,25023,34281,1575,0.0629
2020,1,District Of Columbia,All,Hispanic,All,All,All,All,1675,2623,119,0.071
2020,1,District Of Columbia,All,Non-Hispanic White,All,All,All,All,13579,18104,1060,0.0781
2020,1,District Of Columbia,All,Other/Unknown,All,All,All,All,,,,
2020,1,District Of Columbia,Medicare & Medicaid,All,All,All,All,All,17511,22736,1190,0.068
2020,1,District Of Columbia,Medicare Only,All,All,All,All,All,24848,35424,1709,0.0688
2020,1,Florida,All,All,All,Aged,All,All,1533410,1898146,79990,0.0522
2020,1,Florida,All,All,All,All,0-64,All,155879,209361,13312,0.0854
2020,1,Florida,All,All,All,All,65-74,All,717368,950420,38405,0.0535
2020,1,Florida,All,All,All,All,75-84,All,559239,656560,29418,0.0526
2020,1,Florida,All,All,All,All,85 and over,All,269722,304115,13258,0.0492
2020,1,Florida,All,All,All,All,All,All,1702208,2120457,94393,0.0555
2020,1,Florida,All,All,All,All,All,Rural,65165,85500,2990,0.0459
2020,1,Florida,All,All,All,All,All,Unknown,,,,
2020,1,Florida,All,All,All,All,All,Urban,1634015,2030225,91303,0.0559
2020,1,Florida,All,All,All,Disabled,All,All,143903,196939,12401,0.0862
2020,1,Florida,All,All,All,ESRD,All,All,24895,25371,2002,0.0804
2020,1,Florida,All,All,Female,All,All,All,958405,1158492,56387,0.0588
2020,1,Florida,All,All,Male,All,All,All,743803,961965,38006,0.0511
2020,1,Florida,All,American Indian/Alaska Native,All,All,All,All,1175,1518,70,0.0596
2020,1,Florida,All,Asian/Pacific Islander,All,All,All,All,19456,28438,880,0.0452
2020,1,Florida,All,Black/African American,All,All,All,All,111937,151094,6176,0.0552
2020,1,Florida,All,Hispanic,All,All,All,All,127614,167093,9628,0.0754
2020,1,Florida,All,Non-Hispanic White,All,All,All,All,1398275,1713843,75216,0.0538
2020,1,Florida,All,Other/Unknown,All,All,All,All,,,,
2020,1,Florida,Medicare & Medicaid,All,All,All,All,All,258200,315517,18929,0.0733
2020,1,Florida,Medicare Only,All,All,All,All,All,1444008,1804940,75464,0.0523
2020,1,Georgia,All,All,All,Aged,All,All,577647,748380,24045,0.0416
2020,1,Georgia,All,All,All,All,0-64,All,94087,127904,6897,0.0733
2020,1,Georgia,All,All,All,All,65-74,All,300671,409780,13487,0.0449
2020,1,Georgia,All,All,All,All,75-84,All,201428,246071,8118,0.0403
2020,1,Georgia,All,All,All,All,85 and over,All,83184,100220,2899,0.0349
2020,1,Georgia,All,All,All,All,All,All,679370,883975,31401,0.0462
2020,1,Georgia,All,All,All,All,All,Rural,145493,187150,6375,0.0438
2020,1,Georgia,All,All,All,All,All,Unknown,,,,
2020,1,Georgia,All,All,All,All,All,Urban,533285,695979,25003,0.0469
2020,1,Georgia,All,All,All,Disabled,All,All,84050,117496,6283,0.0748
2020,1,Georgia,All,All,All,ESRD,All,All,17673,18099,1073,0.0607
2020,1,Georgia,All,All,Female,All,All,All,385135,484440,19138,0.0497
2020,1,Georgia,All,All,Male,All,All,All,294235,399535,12263,0.0417
2020,1,Georgia,All,American Indian/Alaska Native,All,All,All,All,353,462,27,0.0765
2020,1,Georgia,All,Asian/Pacific Islander,All,All,All,All,10716,16551,459,0.0428
2020,1,Georgia,All,Black/African American,All,All,All,All,127487,176951,5593,0.0439
2020,1,Georgia,All,Hispanic,All,All,All,All,12061,19009,514,0.0426
2020,1,Georgia,All,Non-Hispanic White,All,All,All,All,515344,652399,24217,0.047
2020,1,Georgia,All,Other/Unknown,All,All,All,All,,,,
2020,1,Georgia,Medicare & Medicaid,All,All,All,All,All,131486,166155,7638,0.0581
2020,1,Georgia,Medicare Only,All,All,All,All,All,547884,717820,23763,0.0434
2020,1,Hawaii,All,All,All,Aged,All,All,70921,98699,3515,0.0496
2020,1,Hawaii,All,All,All,All,0-64,All,6008,9008,471,0.0784
2020,1,Hawaii,All,All,All,All,65-74,All,35158,52597,1820,0.0518
2020,1,Hawaii,All,All,All,All,75-84,All,23575,30548,1178,0.05
2020,1,Hawaii,All,All,All,All,85 and over,All,13339,16725,616,0.0462
2020,1,Hawaii,All,All,All,All,All,All,78080,108879,4085,0.0523
2020,1,Hawaii,All,All,All,All,All,Rural,24475,36010,1297,0.053
2020,1,Hawaii,All,All,All,All,All,Unknown,,,,
2020,1,Hawaii,All,All,All,All,All,Urban,53590,72795,2787,0.052
2020,1,Hawaii,All,All,All,Disabled,All,All,4848,7788,390,0.0804
2020,1,Hawaii,All,All,All,ESRD,All,All,2311,2392,180,0.0779
2020,1,Hawaii,All,All,Female,All,All,All,42654,57312,2382,0.0558
2020,1,Hawaii,All,All,Male,All,All,All,35426,51567,1703,0.0481
2020,1,Hawaii,All,American Indian/Alaska Native,All,All,All,All,82,131,,
2020,1,Hawaii,All,Asian/Pacific Islander,All,All,All,All,38437,51757,1747,0.0455
2020,1,Hawaii,All,Black/African American,All,All,All,All,690,1260,30,0.0435
2020,1,Hawaii,All,Hispanic,All,All,All,All,4194,6371,221,0.0527
2020,1,Hawaii,All,Non-Hispanic White,All,All,All,All,24101,34965,1583,0.0657
2020,1,Hawaii,All,Other/Unknown,All,All,All,All,,,,
2020,1,Hawaii,Medicare & Medicaid,All,All,All,All,All,8918,12784,498,0.0558
2020,1,Hawaii,Medicare Only,All,All,All,All,All,69162,96095,3587,0.0519
2020,1,Idaho,All,All,All,Aged,All,All,113046,168091,4263,0.0377
2020,1,Idaho,All,All,All,All,0-64,All,17664,24968,1542,0.0873
2020,1,Idaho,All,All,All,All,65-74,All,60135,95068,2431,0.0404
2020,1,Idaho,All,All,All,All,75-84,All,38063,52847,1393,0.0366
2020,1,Idaho,All,All,All,All,85 and over,All,15566,20928,497,0.0319
2020,1,Idaho,All,All,All,All,All,All,131428,193811,5863,0.0446
2020,1,Idaho,All,All,All,All,All,Rural,53097,82931,2011,0.0379
2020,1,Idaho,All,All,All,All,All,Unknown,,,,
2020,1,Idaho,All,All,All,All,All,Urban,78321,110845,3852,0.0492
2020,1,Idaho,All,All,All,Disabled,All,All,16988,24265,1476,0.0869
2020,1,Idaho,All,All,All,ESRD,All,All,1394,1455,124,0.089
2020,1,Idaho,All,All,Female,All,All,All,72015,100584,3481,0.0483
2020,1,Idaho,All,All,Male,All,All,All,59413,93227,2382,0.0401
2020,1,Idaho,All,American Indian/Alaska Native,All,All,All,All,1267,1744,51,0.0403
2020,1,Idaho,All,Asian/Pacific Islander,All,All,All,All,964,1508,40,0.0415
2020,1,Idaho,All,Black/African American,All,All,All,All,364,561,30,0.0824
2020,1,Idaho,All,Hispanic,All,All,All,All,4595,7353,194,0.0422
2020,1,Idaho,All,Non-Hispanic White,All,All,All,All,121299,178029,5421,0.0447
2020,1,Idaho,All,Other/Unknown,All,All,All,All,,,,
2020,1,Idaho,Medicare & Medicaid,All,All,All,All,All,23230,31596,1669,0.0718
2020,1,Idaho,Medicare Only,All,All,All,All,All,108198,162215,4194,0.0388
2020,1,Illinois,All,All,All,Aged,All,All,874708,1204872,52858,0.0604
2020,1,Illinois,All,All,All,All,0-64,All,124585,167347,12877,0.1034
2020,1,Illinois,All,All,All,All,65-74,All,427153,627624,26345,0.0617
2020,1,Illinois,All,All,All,All,75-84,All,303505,395967,18813,0.062
2020,1,Illinois,All,All,All,All,85 and over,All,153665,190918,8685,0.0565
2020,1,Illinois,All,All,All,All,All,All,1008908,1381856,66720,0.0661
2020,1,Illinois,All,All,All,All,All,Rural,184761,258534,7458,0.0404
2020,1,Illinois,All,All,All,All,All,Unknown,,,,
2020,1,Illinois,All,All,All,All,All,Urban,823879,1122734,59238,0.0719
2020,1,Illinois,All,All,All,Disabled,All,All,117311,159804,12107,0.1032
2020,1,Illinois,All,All,All,ESRD,All,All,16889,17181,1755,0.1039
2020,1,Illinois,All,All,Female,All,All,All,577517,768653,40621,0.0703
2020,1,Illinois,All,All,Male,All,All,All,431391,613203,26099,0.0605
2020,1,Illinois,All,American Indian/Alaska Native,All,All,All,All,431,556,47,0.109
2020,1,Illinois,All,Asian/Pacific Islander,All,All,All,All,25311,38380,1597,0.0631
2020,1,Illinois,All,Black/African American,All,All,All,All,101329,136617,9660,0.0953
2020,1,Illinois,All,Hispanic,All,All,All,All,51623,80884,4090,0.0792
2020,1,Illinois,All,Non-Hispanic White,All,All,All,All,805119,1088608,49702,0.0617
2020,1,Illinois,All,Other/Unknown,All,All,All,All,,,,
2020,1,Illinois,Medicare & Medicaid,All,All,All,All,All,211355,263595,19877,0.094
2020,1,Illinois,Medicare Only,All,All,All,All,All,797553,1118261,46843,0.0587
2020,1,Indiana,All,All,All,Aged,All,All,461107,622027,17148,0.0372
2020,1,Indiana,All,All,All,All,0-64,All,81134,107121,7913,0.0975
2020,1,Indiana,All,All,All,All,65-74,All,237603,340031,9395,0.0395
2020,1,Indiana,All,All,All,All,75-84,All,153203,195325,5626,0.0367
2020,1,Indiana,All,All,All,All,85 and over,All,74601,90990,2396,0.0321
2020,1,Indiana,All,All,All,All,All,All,546541,733467,25330,0.0463
2020,1,Indiana,All,All,All,All,All,Rural,156607,211728,6458,0.0412
2020,1,Indiana,All,All,All,All,All,Unknown,,,,
2020,1,Indiana,All,All,All,All,All,Urban,389717,521362,18859,0.0484
2020,1,Indiana,All,All,All,Disabled,All,All,77122,102944,7624,0.0989
2020,1,Indiana,All,All,All,ESRD,All,All,8312,8495,558,0.0671
2020,1,Indiana,All,All,Female,All,All,All,314177,407931,15341,0.0488
2020,1,Indiana,All,All,Male,All,All,All,232364,325536,9989,0.043
2020,1,Indiana,All,American Indian/Alaska Native,All,All,All,All,278,368,19,0.0683
2020,1,Indiana,All,Asian/Pacific Islander,All,All,All,All,3278,5285,144,0.0439
2020,1,Indiana,All,Black/African American,All,All,All,All,31655,42657,2153,0.068
2020,1,Indiana,All,Hispanic,All,All,All,All,8665,12866,512,0.0591
2020,1,Indiana,All,Non-Hispanic White,All,All,All,All,490472,654668,21961,0.0448
2020,1,Indiana,All,Other/Unknown,All,All,All,All,,,,
2020,1,Indiana,Medicare & Medicaid,All,All,All,All,All,118183,143596,9640,0.0816
2020,1,Indiana,Medicare Only,All,All,All,All,All,428358,589871,15690,0.0366
2020,1,Iowa,All,All,All,Aged,All,All,273183,385797,9501,0.0348
2020,1,Iowa,All,All,All,All,0-64,All,32516,44469,3735,0.1149
2020,1,Iowa,All,All,All,All,65-74,All,135710,204083,4915,0.0362
2020,1,Iowa,All,All,All,All,75-84,All,89775,120773,2858,0.0318
2020,1,Iowa,All,All,All,All,85 and over,All,49276,62545,1824,0.037
2020,1,Iowa,All,All,All,All,All,All,307277,431871,13332,0.0434
2020,1,Iowa,All,All,All,All,All,Rural,166717,237562,7454,0.0447
2020,1,Iowa,All,All,All,All,All,Unknown,,,,
2020,1,Iowa,All,All,All,All,All,Urban,140393,194089,5840,0.0416
2020,1,Iowa,All,All,All,Disabled,All,All,31307,43187,3650,0.1166
2020,1,Iowa,All,All,All,ESRD,All,All,2787,2887,181,0.0649
2020,1,Iowa,All,All,Female,All,All,All,173633,237506,7943,0.0457
2020,1,Iowa,All,All,Male,All,All,All,133644,194365,5389,0.0403
2020,1,Iowa,All,American Indian/Alaska Native,All,All,All,All,394,526,18,0.0457
2020,1,Iowa,All,Asian/Pacific Islander,All,All,All,All,1594,2683,65,0.0408
2020,1,Iowa,All,Black/African American,All,All,All,All,4023,5687,226,0.0562
2020,1,Iowa,All,Hispanic,All,All,All,All,3291,5209,157,0.0477
2020,1,Iowa,All,Non-Hispanic White,All,All,All,All,291509,408094,12590,0.0432
2020,1,Iowa,All,Other/Unknown,All,All,All,All,,,,
2020,1,Iowa,Medicare & Medicaid,All,All,All,All,All,46135,58134,5096,0.1105
2020,1,Iowa,Medicare Only,All,All,All,All,All,261142,373736,8236,0.0315
2020,1,Kansas,All,All,All,Aged,All,All,249818,337612,8138,0.0326
2020,1,Kansas,All,All,All,All,0-64,All,33019,44385,3176,0.0962
2020,1,Kansas,All,All,All,All,65-74,All,125554,180477,4259,0.0339
2020,1,Kansas,All,All,All,All,75-84,All,82842,106012,2593,0.0313
2020,1,Kansas,All,All,All,All,85 and over,All,43154,52883,1365,0.0316
2020,1,Kansas,All,All,All,All,All,All,284569,383757,11393,0.04
2020,1,Kansas,All,All,All,All,All,Rural,134384,183227,5714,0.0425
2020,1,Kansas,All,All,All,All,All,Unknown,,,,
2020,1,Kansas,All,All,All,All,All,Urban,149819,199986,5667,0.0378
2020,1,Kansas,All,All,All,Disabled,All,All,31569,42878,3069,0.0972
2020,1,Kansas,All,All,All,ESRD,All,All,3182,3267,186,0.0585
2020,1,Kansas,All,All,Female,All,All,All,160965,211302,6847,0.0425
2020,1,Kansas,All,All,Male,All,All,All,123604,172454,4546,0.0368
2020,1,Kansas,All,American Indian/Alaska Native,All,All,All,All,1520,2007,62,0.0408
2020,1,Kansas,All,Asian/Pacific Islander,All,All,All,All,2348,3761,59,0.0251
2020,1,Kansas,All,Black/African American,All,All,All,All,9190,12772,414,0.045
2020,1,Kansas,All,Hispanic,All,All,All,All,8375,12413,294,0.0351
